Prince 5 1981-2010 Climatological Means
Month,Depth,Avg_Temperature,Std_Temperature,Years_Temperature,Avg_Salinity,Std_Salinity,Years_Salinity,Avg_Sigmat,Std_Sigmat,Years_Sigmat
1.0000,0.0000,4.1399,1.0634,25.0000,32.2292,0.3273,26.0000,25.5313,0.2517,24.0000
1.0000,10.0000,4.2683,0.9616,26.0000,32.2509,0.3232,26.0000,25.5447,0.2402,25.0000
1.0000,25.0000,4.3502,0.9675,25.0000,32.2703,0.3201,26.0000,25.5428,0.2320,24.0000
1.0000,50.0000,4.3787,0.9735,26.0000,32.2950,0.3241,26.0000,25.5709,0.2376,25.0000
1.0000,75.0000,4.4891,0.9841,26.0000,32.3282,0.3105,26.0000,25.5870,0.2341,25.0000
1.0000,90.0000,4.5387,1.0437,24.0000,32.3775,0.2702,24.0000,25.6196,0.2007,23.0000
2.0000,0.0000,2.5758,0.8080,28.0000,31.9906,0.3758,30.0000,25.4975,0.2960,28.0000
2.0000,10.0000,2.5440,0.9158,29.0000,32.0067,0.3586,29.0000,25.5082,0.2802,28.0000
2.0000,25.0000,2.5776,0.9173,30.0000,32.0347,0.3433,30.0000,25.5468,0.2804,30.0000
2.0000,50.0000,2.5983,0.9152,29.0000,32.0519,0.3325,30.0000,25.5455,0.2616,29.0000
2.0000,75.0000,2.7067,0.9712,30.0000,32.1249,0.3194,30.0000,25.6086,0.2493,30.0000
2.0000,90.0000,2.7498,1.0626,28.0000,32.2037,0.3076,29.0000,25.6537,0.2358,28.0000
3.0000,0.0000,2.3002,0.9033,28.0000,31.8046,0.3773,27.0000,25.3735,0.3312,26.0000
3.0000,10.0000,2.1205,0.8193,28.0000,31.8285,0.3615,27.0000,25.4087,0.3178,26.0000
3.0000,25.0000,2.1108,0.8006,29.0000,31.8535,0.3480,27.0000,25.4381,0.3015,27.0000
3.0000,50.0000,2.1540,0.8116,29.0000,31.9056,0.3271,27.0000,25.4768,0.2818,27.0000
3.0000,75.0000,2.2606,0.8273,28.0000,31.9723,0.3274,27.0000,25.5125,0.2786,26.0000
3.0000,90.0000,2.4467,0.7924,26.0000,32.0897,0.2473,25.0000,25.5958,0.2027,24.0000
4.0000,0.0000,3.6899,1.1525,25.0000,30.7448,1.0138,25.0000,24.4232,0.8111,25.0000
4.0000,10.0000,3.4345,0.9184,25.0000,30.9487,0.8271,25.0000,24.6120,0.6641,25.0000
4.0000,25.0000,3.3211,0.8595,25.0000,31.2400,0.5549,25.0000,24.8530,0.4678,25.0000
4.0000,50.0000,3.2895,0.8617,25.0000,31.4569,0.3905,25.0000,25.0283,0.3427,25.0000
4.0000,75.0000,3.3034,0.8851,24.0000,31.7173,0.3374,24.0000,25.2345,0.2807,24.0000
4.0000,90.0000,3.2440,0.9323,21.0000,31.9503,0.3517,20.0000,25.4274,0.2931,20.0000
5.0000,0.0000,5.3041,0.8393,30.0000,30.6368,0.6821,28.0000,24.1823,0.5443,28.0000
5.0000,10.0000,4.9741,0.7856,29.0000,30.8825,0.5515,29.0000,24.4059,0.4469,28.0000
5.0000,25.0000,4.8109,0.7959,30.0000,31.0902,0.4152,29.0000,24.5926,0.3292,29.0000
5.0000,50.0000,4.5985,0.8967,30.0000,31.3442,0.2843,29.0000,24.8157,0.2401,29.0000
5.0000,75.0000,4.4321,0.8749,30.0000,31.6303,0.2565,29.0000,25.0609,0.2271,29.0000
5.0000,90.0000,4.3372,0.7829,30.0000,31.8266,0.2992,29.0000,25.2268,0.2283,29.0000
6.0000,0.0000,7.9209,1.0171,30.0000,31.1077,0.4588,30.0000,24.2197,0.4112,30.0000
