Prince 5, Monthly Means,,,,
year,month,depth,temperature,salinity,sigmaTheta
1924,1,0,4.22,32.29,25.61
1924,1,10,4.045,32.295,25.63
1924,1,25,3.885,32.308,25.655
1924,1,50,3.96,32.347,25.68
1924,1,75,4.035,32.386,25.705
1924,1,90,4.08,32.41,25.72
1924,2,0,1.22,32.43,25.97
1924,2,10,1.435,32.455,25.975
1924,2,25,1.656,32.491,25.988
1924,2,50,1.689,32.544,26.027
1924,2,75,1.721,32.598,26.066
1924,2,90,1.74,32.63,26.09
1924,3,0,1.6,32.12,25.69
1924,3,10,1.565,32.13,25.7
1924,3,25,1.591,32.159,25.721
1924,3,50,1.899,32.256,25.779
1924,3,75,2.206,32.352,25.836
1924,3,90,2.39,32.41,25.87
1924,4,0,3.22,31.73,25.26
1924,4,10,2.77,31.755,25.315
1924,4,25,2.306,31.803,25.389
1924,4,50,2.234,31.917,25.486
1924,4,75,2.163,32.031,25.582
1924,4,90,2.12,32.1,25.64
1924,5,0,5.63,27.3,21.51
1924,5,10,4.52,29.15,23.085
1924,5,25,3.389,31.078,24.724
1924,5,50,3.286,31.467,25.041
1924,5,75,3.182,31.856,25.359
1924,5,90,3.12,32.09,25.55
1924,6,0,6.63,30.99,24.31
1924,6,10,5.925,31.07,24.455
1924,6,25,5.102,31.213,24.661
1924,6,50,4.513,31.527,24.969
1924,6,75,3.924,31.841,25.276
1924,6,90,3.57,32.03,25.46
1924,7,0,9.34,31.56,24.37
1924,7,10,8.45,31.6,24.535
1924,7,25,7.416,31.682,24.751
1924,7,50,6.694,31.893,25.009
1924,7,75,5.973,32.104,25.266
1924,7,90,5.54,32.23,25.42
1924,8,0,10.88,31.76,24.27
1924,8,10,10.195,31.84,24.45
1924,8,25,9.39,31.94,24.664
1924,8,50,8.79,32.04,24.831
1924,8,75,8.19,32.14,24.999
1924,8,90,7.83,32.2,25.1
1924,9,0,10.37,32.16,24.67
1924,9,10,10.26,32.15,24.685
1924,9,25,10.072,32.162,24.729
1924,9,50,9.683,32.273,24.876
1924,9,75,9.294,32.384,25.022
1924,9,90,9.06,32.45,25.11
1924,10,0,9.54,32.16,24.81
1924,10,10,9.455,32.18,24.84
1924,10,25,9.409,32.228,24.886
1924,10,50,9.601,32.367,24.964
1924,10,75,9.794,32.506,25.043
1924,10,90,9.91,32.59,25.09
1924,11,0,9,32.72,25.33
1924,11,10,8.755,32.735,25.38
1924,11,25,8.517,32.756,25.434
1924,11,50,8.553,32.789,25.456
1924,11,75,8.589,32.821,25.477
1924,11,90,8.61,32.84,25.49
1924,12,0,6.8,31.29,24.52
1924,12,10,6.83,31.905,25
1924,12,25,6.871,32.526,25.484
1924,12,50,6.929,32.559,25.501
1924,12,75,6.986,32.591,25.519
1924,12,90,7.02,32.61,25.53
1926,1,0,2.84,32.72,26.08
1926,1,10,2.83,32.755,26.11
