"Year","salinity0mweightedAnomaly","salinity0mweightedAnomalySd","salinity0mnRegions","salinity50mweightedAnomaly","salinity50mweightedAnomalySd","salinity50mnRegions","salinityGradientweightedAnomaly","salinityGradientweightedAnomalySd","salinityGradientnRegions","sigmaTheta0mweightedAnomaly","sigmaTheta0mweightedAnomalySd","sigmaTheta0mnRegions","sigmaTheta50mweightedAnomaly","sigmaTheta50mweightedAnomalySd","sigmaTheta50mnRegions","sigmaThetaGradientweightedAnomaly","sigmaThetaGradientweightedAnomalySd","sigmaThetaGradientnRegions","temperature0mweightedAnomaly","temperature0mweightedAnomalySd","temperature0mnRegions","temperature50mweightedAnomaly","temperature50mweightedAnomalySd","temperature50mnRegions"
1914,0.0955,0.2149,5,0.0104,0.3709,5,-0.00016,0.00726,5,0.0381,0.1996,5,-0.0124,0.2323,5,0.00247,0.00921,5,-0.2981,1.6236,5,-0.002,1.3917,5
1915,0.149,0.1455,13,-0.0258,0.1495,13,-0.00473,0.0031,13,0.5031,0.2192,13,0.0473,0.1247,13,-0.01094,0.00532,13,-2.2521,1.0774,13,-0.8032,0.8727,13
1919,0.5083,1.1693,4,0.1344,0.6837,4,-0.00892,0.0095,4,0.4667,0.9264,4,0.045,0.3575,4,-0.00971,0.01135,4,-0.7059,0.5419,4,0.5678,1.8935,4
1920,0.7782,0.3485,5,0.468,0.3302,5,-0.00637,0.0032,5,0.6417,0.2425,5,0.4359,0.2121,5,-0.00409,0.00193,5,-0.253,0.6032,5,-0.7041,0.7614,5
1924,-0.6252,NA,1,-0.3961,NA,1,0.00644,NA,1,-0.1332,NA,1,-0.4638,NA,1,-0.00525,NA,1,-1.6822,NA,1,1.8266,NA,1
1928,0.0991,0.1938,3,-0.1197,0.2882,3,-0.0048,0.00222,3,0.188,0.1306,3,-0.0892,0.2349,3,-0.00601,0.003,3,-0.5187,0.5539,3,-0.0768,0.2041,3
1929,0.619,0.0958,2,0.3373,0.2079,2,-0.0056,0.00716,2,0.4112,0.5377,2,0.2822,0.103,2,-0.0021,0.0151,2,-0.0752,3.2237,2,-0.2042,0.8263,2
1932,-0.2337,0.4486,5,-0.0488,0.4303,5,0.0016,0.00686,5,-0.3694,0.5874,5,0.0301,0.389,5,0.00368,0.00901,5,0.7687,1.1309,5,-1.008,0.5738,5
1933,0.1609,0.4091,11,-0.0689,0.3609,11,-0.00496,0.00798,11,0.1294,0.3193,11,-0.034,0.4044,11,-0.00341,0.01136,11,-0.0494,0.6678,11,0.0025,1.9598,11
1934,0.3895,0.3068,17,0.1035,0.3278,17,-0.0047,0.00749,17,0.3557,0.3462,17,0.0844,0.2214,17,-0.00132,0.01013,17,-0.4089,1.0529,17,-0.0619,0.7942,17
