YEAR,MONTH,TEMPERATURE
1921,1,1.8000
1921,2,0.3000
1921,3,1.8000
1921,4,4.2000
1921,5,7.7000
1921,6,9.6000
1921,7,12.0000
1921,8,12.9000
1921,9,13.0000
1921,10,11.2000
1921,11,6.8000
1921,12,3.2000
1922,1,-0.2000
1922,2,-0.5000
1922,3,0.5000
1922,4,3.2000
1922,5,6.3000
1922,6,9.1000
1922,7,12.2000
1922,8,12.6000
1922,9,12.2000
1922,10,9.4000
1922,11,5.7000
1922,12,1.7000
1923,1,-1.2000
1923,2,-1.7000
1923,3,-1.7000
1923,4,1.0000
1923,5,5.7000
1923,6,7.6000
1923,7,10.2000
1923,8,10.9000
1923,9,11.4000
1923,10,10.0000
1923,11,7.5000
1923,12,5.3000
1924,1,1.6000
1924,2,-0.3000
1924,3,1.2000
1924,4,3.5000
1924,5,6.4000
1924,6,8.2000
1924,7,11.1000
1924,8,12.2000
1924,9,11.9000
1924,10,10.3000
1924,11,7.3000
1924,12,3.3000
1925,1,0.1000
1925,2,0.0000
1925,3,1.5000
1925,4,3.7000
1925,5,6.9000
1925,6,8.9000
1925,7,11.4000
1925,8,12.3000
1925,9,11.7000
1925,10,8.6000
1925,11,6.3000
1925,12,3.1000
1926,1,0.5000
1926,2,-1.1000
1926,3,-0.3000
1926,4,1.6000
1926,5,5.3000
1926,6,8.0000
1926,7,11.2000
1926,8,12.2000
1926,9,12.1000
1926,10,10.4000
1926,11,7.4000
1926,12,3.0000
1927,1,1.6000
1927,2,0.3000
1927,3,1.3000
1927,4,3.4000
1927,5,6.2000
1927,6,9.1000
1927,7,11.4000
1927,8,12.4000
1927,9,11.8000
1927,10,10.8000
1927,11,8.6000
1927,12,5.0000
1928,1,2.7000
1928,2,1.4000
1928,3,1.8000
1928,4,3.8000
1928,5,6.8000
1928,6,9.9000
1928,7,13.0000
1928,8,13.5000
1928,9,12.4000
1928,10,10.6000
1928,11,7.0000
1928,12,4.9000
1929,1,2.2000
1929,2,1.3000
1929,3,1.7000
1929,4,3.1000
1929,5,6.8000
1929,6,9.4000
1929,7,11.7000
1929,8,12.6000
1929,9,12.5000
