latitude,longitude
42.4,-65.0
42.6,-65.0
42.6,-64.8
42.6,-64.6
42.8,-65.0
42.8,-64.8
42.8,-64.6
42.8,-64.4
42.8,-64.2
42.8,-64.0
43.0,-65.0
43.0,-64.8
43.0,-64.6
43.0,-64.4
43.0,-64.2
43.0,-64.0
43.0,-63.8
43.0,-63.6
43.0,-63.4
43.0,-63.2
43.0,-63.0
43.0,-62.8
43.0,-62.6
43.0,-62.4
43.0,-62.2
43.0,-62.0
43.2,-65.0
43.2,-64.8
43.2,-64.6
43.2,-64.4
43.2,-64.2
43.2,-64.0
43.2,-63.8
43.2,-63.6
43.2,-63.4
43.2,-63.2
43.2,-63.0
43.2,-62.8
43.2,-62.6
43.2,-62.4
43.2,-62.2
43.2,-62.0
43.2,-61.8
43.2,-61.6
43.2,-61.4
43.4,-65.0
43.4,-64.8
43.4,-64.6
43.4,-64.4
43.4,-64.2
43.4,-64.0
43.4,-63.8
43.4,-63.6
43.4,-63.4
43.4,-63.2
43.4,-63.0
43.4,-62.8
43.4,-62.6
43.4,-62.4
43.4,-62.2
43.4,-62.0
43.4,-61.8
43.4,-61.6
43.4,-61.4
43.4,-61.2
43.4,-61.0
43.4,-60.8
43.4,-60.6
43.6,-64.6
43.6,-64.4
43.6,-64.2
43.6,-64.0
43.6,-63.8
43.6,-63.6
43.6,-63.4
43.6,-63.2
43.6,-63.0
43.6,-62.8
43.6,-62.6
43.6,-62.4
43.6,-62.2
43.6,-62.0
43.6,-61.8
43.6,-61.6
43.6,-61.4
43.6,-61.2
43.6,-61.0
43.6,-60.8
43.6,-60.6
43.6,-60.4
43.6,-60.2
43.6,-60.0
43.6,-59.8
43.8,-64.4
43.8,-64.2
43.8,-64.0
43.8,-63.8
43.8,-63.6
43.8,-63.4
43.8,-63.2
43.8,-63.0
43.8,-62.8
43.8,-62.6
43.8,-62.4
43.8,-62.2
43.8,-62.0
43.8,-61.8
43.8,-61.6
43.8,-61.4
43.8,-61.2
43.8,-61.0
43.8,-60.8
43.8,-60.6
43.8,-60.4
43.8,-60.2
43.8,-60.0
43.8,-59.8
43.8,-59.6
43.8,-59.4
43.8,-59.2
44.0,-64.0
44.0,-63.8
44.0,-63.6
44.0,-63.4
44.0,-63.2
44.0,-63.0
44.0,-62.8
44.0,-62.6
44.0,-62.4
44.0,-62.2
44.0,-62.0
44.0,-61.8
44.0,-61.6
44.0,-61.4
44.0,-61.2
44.0,-61.0
44.0,-60.8
44.0,-60.6
44.0,-60.4
44.0,-60.2
44.0,-60.0
44.0,-59.8
44.0,-59.6
44.0,-59.4
44.0,-59.2
44.0,-58.8
44.2,-63.6
44.2,-63.4
44.2,-63.2
44.2,-63.0
44.2,-62.8
44.2,-62.6
44.2,-62.4
44.2,-62.2
44.2,-62.0
44.2,-61.8
44.2,-61.6
44.2,-61.4
44.2,-61.2
44.2,-61.0
44.2,-60.8
44.2,-60.6
44.2,-60.4
44.2,-60.2
44.2,-60.0
44.2,-59.8
44.2,-59.6
44.2,-59.4
44.2,-59.2
44.2,-59.0
44.2,-58.8
44.2,-58.6
44.2,-58.2
44.4,-63.0
44.4,-62.8
44.4,-62.6
44.4,-62.4
44.4,-62.2
44.4,-62.0
44.4,-61.8
44.4,-61.6
44.4,-61.4
44.4,-61.2
44.4,-61.0
44.4,-60.8
44.4,-60.6
44.4,-60.4
44.4,-60.2
44.4,-60.0
44.4,-59.8
44.4,-59.6
44.4,-59.4
44.4,-59.2
44.4,-59.0
44.4,-58.8
44.4,-58.6
44.4,-58.4
44.4,-58.2
44.4,-58.0
44.4,-57.8
44.4,-57.6
44.6,-62.4
44.6,-62.2
44.6,-62.0
44.6,-61.8
44.6,-61.6
44.6,-61.4
44.6,-61.2
44.6,-61.0
44.6,-60.8
44.6,-60.6
44.6,-60.4
44.6,-60.2
44.6,-60.0
44.6,-59.8
44.6,-59.6
44.6,-59.4
44.6,-59.2
44.6,-59.0
44.6,-58.8
44.6,-58.6
44.6,-58.4
44.6,-58.2
44.6,-58.0
44.6,-57.8
44.6,-57.6
44.6,-57.4
44.8,-61.6
44.8,-61.4
44.8,-61.2
44.8,-61.0
44.8,-60.8
44.8,-60.6
44.8,-60.4
44.8,-60.2
44.8,-60.0
44.8,-59.8
44.8,-59.6
44.8,-59.4
44.8,-59.2
44.8,-59.0
44.8,-58.8
44.8,-58.6
44.8,-58.4
44.8,-58.2
44.8,-58.0
44.8,-57.8
44.8,-57.6
44.8,-57.4
45.0,-61.2
45.0,-61.0
45.0,-60.8
45.0,-60.6
45.0,-60.4
45.0,-60.2
45.0,-60.0
45.0,-59.8
45.0,-59.6
45.0,-59.4
45.0,-59.2
45.0,-59.0
45.0,-58.8
45.0,-58.6
45.0,-58.4
45.0,-58.2
45.0,-58.0
45.0,-57.8
45.0,-57.6
45.2,-60.6
45.2,-60.4
45.2,-60.2
45.2,-60.0
45.2,-59.8
45.2,-59.6
45.2,-59.4
45.2,-59.2
45.2,-59.0
45.2,-58.8
45.2,-58.6
45.2,-58.4
45.2,-58.2
45.2,-58.0
45.2,-57.8
45.4,-60.2
45.4,-60.0
45.4,-59.8
45.4,-59.6
45.4,-59.4
45.4,-59.2
45.4,-59.0
45.4,-58.8
45.4,-58.6
45.4,-58.4
45.4,-58.2
45.4,-58.0
45.4,-57.8
45.6,-59.8
45.6,-59.6
45.6,-59.4
45.6,-59.2
45.6,-59.0
45.6,-58.8
45.6,-58.6
45.6,-58.4
45.6,-58.2
45.6,-58.0
45.8,-59.6
45.8,-59.4
45.8,-59.2
45.8,-59.0
45.8,-58.8
45.8,-58.6
45.8,-58.4
45.8,-58.2
46.0,-59.6
46.0,-59.4
46.0,-59.2
46.0,-59.0
46.0,-58.8
46.0,-58.6
46.2,-59.6
46.2,-59.4
46.2,-59.2
46.2,-59.0
46.4,-59.8
46.4,-59.6
46.4,-59.4
46.4,-59.2
46.6,-59.8
46.6,-59.6
,
